"Ref","Valor","Encapsulamento","Descricao","Qtd"
"C1-C5","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Desacoplamento U1,Desacoplamento U2,Desacoplamento U3,Desacoplamento U4,Desacoplamento do conector","5"
"C6","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Reservatorio de entrada","1"
"D1","LED","LED_THT:LED_D3.0mm","LED de energia (opcional)","1"
"J1","Para a expansora","tkmem128:ZX_TK_Bus_Header_2x28","Soquete femea 2x28 angular - liga a placa expansora","1"
"JP1","SELECIONA ROM","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1-2 = ROM 128 (EPROM ativa) | 2-3 = ROM TK (EPROM desligada)","1"
"JP2","ROMCS BARRAMENTO","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Aberto = ROM do TK | 1-2 = aciona ROMCS pelo GAL | 2-3 = ROMCS fixo em 1","1"
"JP3","ZX128/ZX512","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Aberto = 128K (AS6C1008) | Fechado = 512K (AS6C4008)","1"
"JP4","AUTO-DESATIVA 32K","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Fechado = injeta nivel 1 no pino 17 e desliga a RAM interna do TK","1"
"R2,R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Pull-up do modo ZX128/ZX512,Serie da auto-desativacao da RAM interna","2"
"R3","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Limitador do LED de energia (opcional)","1"
"R5","0R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Serie do ROMCS (0R; 100-470R se houver disputa)","1"
"SJ1","GND pino 7","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","SO em ZX Spectrum: pino 7 e GND. NAO fechar em TK90X/TK95","1"
"SJ2","GND pino 15","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","SO em TK90X/TK95: pino 15 e GND. NAO fechar em ZX Spectrum","1"
"TP1","VRAM","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","Bit 3 do 7FFD (shadow screen), sem uso nesta arquitetura","1"
"TP2","CLK7FFD","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","Clock do latch - trava em 1 quando DIS128 e setado","1"
"U1","GAL20V8B","Package_DIP:DIP-24_W7.62mm_Socket_LongPads","Decodificador de enderecos (GAL20V8B ou ATF20V8B)","1"
"U2","74HCT273","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","Latch da porta 0x7FFD","1"
"U3","AS6C1008-55PCN","Package_DIP:DIP-32_W15.24mm_Socket_LongPads","SRAM 128Kx8 (ou AS6C4008 512Kx8 no modo ZX512)","1"
"U4","27C256","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","EPROM opcional com o par de ROMs do Spectrum 128","1"
